company_name_s,posting_id,job_category_kor,posting_title_j,posting_tech_stack,education_j,education_s,employment_type,position,company_keywords_jumpit,company_tech_stack,company_type,industry,exp_min,exp_max,edu_category,start_datetime,end_datetime,posting_views_total,applicants_total
(유)로지소프트,51658594,서버/백엔드 개발자;웹 풀스택 개발자,서버개발자 채용,AZURE;C#;C++;NoSql;Node.js;Linux;SQL;MSSQL,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;급성장중;평균연봉 7,000 이상",C#;AZURE;C++;NoSql;Linux;Node.js;MSSQL;SQL,중소기업;유한회사,응용 소프트웨어 개발 및 공급업,7,15,대졸(예정),2025.08.26 00:00,2025.09.24 23:59,224,19
(주)10가트,51732694,HW/임베디드,펌웨어 개발자 경력직 채용,C++;VHDL;Python;MATLAB;Git;FW,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","",FW;C++;VHDL;Git;MATLAB;Python,중소기업,전자상거래 소매업,8,10,대졸(예정),2025.09.03 00:00,2025.10.02 23:59,55,
(주)그리드큐어,51750886,HW/임베디드,하드웨어 설계 엔지니어 신입,Orcad;FPGA;PCB;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",프리한 복장,FPGA;Embedded;Orcad;PCB,중소기업;주식회사,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",0,0,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,119,1
(주)그리드큐어,51750890,HW/임베디드,하드웨어 설계 엔지니어 경력,Orcad;FPGA;PCB;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",프리한 복장,FPGA;Embedded;Orcad;PCB,중소기업;주식회사,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",1,10,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,36,
(주)글로벌시스템스,51626873,인공지능/머신러닝;SW/솔루션,AI연구개발 소프트웨어(4~6년),yolo;Python;AI/인공지능;PyTorch;DeepLearning;C;C++;PyQt,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",자유로운 연차;프리한 복장;점심지원,yolo;AI/인공지능;C++;PyTorch;C;DeepLearning;PyQt;Python,중소기업,방송장비 제조업,4,6,대졸(예정),2025.08.25 00:00,2025.09.23 00:00,70,4
(주)글로벌시스템스,51626899,SW/솔루션;인공지능/머신러닝,AI연구개발 소프트웨어(7~9년),yolo;Python;AI/인공지능;PyTorch;DeepLearning;C;C++;PyQt,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",자유로운 연차;프리한 복장;점심지원,yolo;AI/인공지능;C++;PyTorch;C;DeepLearning;PyQt;Python,중소기업,방송장비 제조업,7,9,대졸(예정),2025.08.25 00:00,2025.09.23 00:00,56,6
(주)글로벌시스템스,51627364,인공지능/머신러닝;SW/솔루션,AI연구개발 소프트웨어/10년↑,yolo;Python;AI/인공지능;PyTorch;DeepLearning;C;C++;PyQt,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",자유로운 연차;프리한 복장;점심지원,yolo;AI/인공지능;C++;PyTorch;C;DeepLearning;PyQt;Python,중소기업,방송장비 제조업,10,20,대졸(예정),2025.08.25 00:00,2025.09.23 00:00,78,9
(주)금영제너럴,51735669,SW/솔루션;HW/임베디드,기술연구소 연구개발직 경력 채용,HW;SW;C,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;5호선 역세권 기업,C;SW;HW,중소기업;외부감사법인;연구소;병역특례 인증업체;수출입 기업,승강기 제조업,1,10,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,83,1
(주)금영제너럴,51735674,SW/솔루션;HW/임베디드,기술연구소 연구개발직 신입 채용,HW;SW;C,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;5호선 역세권 기업,C;SW;HW,중소기업;외부감사법인;연구소;병역특례 인증업체;수출입 기업,승강기 제조업,1,10,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,87,3
(주)긴트,51767966,SW/솔루션;HW/임베디드,모터제어 엔지니어(6~10년차),C;C#;C++;SW;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",급성장중;장기근속 포상;점심지원,C#;C++;C;SW;Node.js;React;MATLAB;TypeScript;JavaScript;React Native;Embedded;AWS;Python,중소기업;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,자동차용 신품 전기장치 제조업,6,10,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,26,
(주)긴트,51767984,HW/임베디드;SW/솔루션,임베디드 소프트웨어 개발자(5~8년),C;C#;C++;SW;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",급성장중;장기근속 포상;점심지원,C#;C++;C;SW;Node.js;React;MATLAB;TypeScript;JavaScript;React Native;Embedded;AWS;Python,중소기업;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,자동차용 신품 전기장치 제조업,5,8,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,21,
(주)긴트,51767995,SW/솔루션;HW/임베디드,임베디드 소프트웨어 개발자(9~12년),C;C#;C++;SW;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",급성장중;장기근속 포상;점심지원,C#;C++;C;SW;Node.js;React;MATLAB;TypeScript;JavaScript;React Native;Embedded;AWS;Python,중소기업;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,자동차용 신품 전기장치 제조업,9,12,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,28,
(주)낭만상회,51617193,프론트엔드 개발자,프론트 개발자 시니어,React;ReactNative;TypeScript;Git;Node.js;Infra;CreateReactNativeApp,무관,학력무관,정규직,"",급성장중;2호선 역세권 기업;점심지원,TypeScript;Git;Infra;Create React Native App;Node.js;React Native;React,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,5,7,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.21 00:00,2025.09.19 23:59,147,13
(주)낭만상회,51617223,프론트엔드 개발자,프론트 개발자,React;ReactNative;TypeScript;Git;Node.js;Infra;CreateReactNativeApp,무관,학력무관,정규직,"",급성장중;2호선 역세권 기업;점심지원,TypeScript;Git;Infra;Create React Native App;Node.js;React Native;React,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,3,5,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.21 00:00,2025.09.19 23:59,315,76
(주)네비웍스,51689833,SW/솔루션;인공지능/머신러닝;빅데이터 엔지니어;블록체인,AI 서비스 백엔드 개발자(3년 이상),Python;Linux;TensorFlow;PyTorch;AI/인공지능;DeepLearning,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,"",매출액 100억 기업;재택근무;4호선 역세권 기업,C#;AI/인공지능;C;DeepLearning;Mfc;HW;QA;REST API;Unreal Engine;PyTorch;Confluence;3D Rendering;Solidworks;TCP/IP;GUI;NestJS;ExpressJS;Python;TensorFlow;C++;SW;Autocad;2D Rendering;React;Orcad;Jira;PCB;SQL;Git;Linux,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,3,10,대졸(예정),2025.09.04 00:00,2025.10.03 23:59,146,
(주)네비웍스,51689853,QA 엔지니어,Software Quality Assurance,SW;QA;Jira;Confluence;HW,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,"",매출액 100억 기업;재택근무;4호선 역세권 기업,C#;AI/인공지능;C;DeepLearning;Mfc;HW;QA;REST API;Unreal Engine;PyTorch;Confluence;3D Rendering;Solidworks;TCP/IP;GUI;NestJS;ExpressJS;Python;TensorFlow;C++;SW;Autocad;2D Rendering;React;Orcad;Jira;PCB;SQL;Git;Linux,중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,6,10,대졸(예정),2025.09.04 00:00,2025.10.03 23:59,59,1
(주)네오커스,51701709,SW/솔루션;기술지원,[강남역 병의원] PHP 웹개발자 안내,Laravel;PHP;MariaDB;HTML5;JavaScript;Git;React.jsBoilerplate,무관,학력무관,정규직;계약직,"",9호선 역세권 기업;점심지원;간식 제공,Git;JavaScript;HTML5;MariaDB;PHP;React.js Boilerplate;Laravel,중소기업,경영 컨설팅업,1,10,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.01 00:00,2025.09.30 23:59,185,39
(주)네일톡톡,51627629,프론트엔드 개발자,프론트엔드 개발자 채용,JavaScript;TypeScript;RESTAPI;Git;GitHub,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,2,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.24 00:00,2025.09.22 23:59,138,41
(주)네일톡톡,51627639,HW/임베디드,스튜디오 시스템 엔지니어 채용,Flutter;C++;Git;GitHub,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.24 00:00,2025.09.22 23:59,61,1
(주)네일톡톡,51728586,HW/임베디드,"윈도우 제어, 임베디드 시스템 개발자 모집",C++;Dart;Git;Jira;TCP/IP,무관,학력무관,정규직,"",4호선 역세권 기업;점심지원;간식 제공,C++;GitHub;MachineLearning;Spring;iOS;Jira;Kotlin;TypeScript;REST API;Git;OpenCV;JavaScript;TCP/IP;Flutter;Android OS;Dart,중소기업;주식회사;수출입 기업,그 외 기타 특수목적용 기계 제조업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.04 00:00,2025.10.03 23:59,36,1
(주)넥서스커뮤니티,51629373,서버/백엔드 개발자;인공지능/머신러닝,AI 개발자 채용,Python;C++;RESTAPI;MachineLearning;DeepLearning;OpenAPI;CoquiTTS,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,5,15,초대졸(예정),2025.08.23 00:00,2025.09.21 23:59,175,25
(주)넥서스커뮤니티,51629406,서버/백엔드 개발자;프론트엔드 개발자,인터페이스 개발자 채용,RESTAPI;Kafka;RabbitMQ;AmazonSQS;AWS;GCP;OAuth2;Docker;JSON;XML,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,5,15,초대졸(예정),2025.08.23 00:00,2025.09.21 23:59,181,16
(주)넥서스커뮤니티,51629421,SW/솔루션,IVR개발자 채용,C++;C;SQL;CoquiTTS,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,5,15,초대졸(예정),2025.08.23 00:00,2025.09.21 23:59,119,1
(주)넥서스커뮤니티,51629433,DBA,DB개발자 채용,SQL;RDB;AWS;MySQL;Oracle;PostgreSQL;DB;NoSql;MongoDB;Redis,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,5,15,초대졸(예정),2025.08.23 00:00,2025.09.21 23:59,108,4
(주)넥서스커뮤니티,51744001,SW/솔루션,C++ 개발자 채용,C++;Linux;TCP/IP;Docker;Kubernetes;Redis;Kafka;RabbitMQ,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,5,20,초대졸(예정),2025.09.09 00:00,2025.10.08 23:59,63,4
(주)넥서스커뮤니티,51744018,DevOps/시스템 엔지니어,"시스템 엔지니어 (PM, SE, SM)",AWS;Linux;Oracle;MariaDB,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","연봉상승률 10% 이상;평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;유베이스 계열사;휴가비 지원;5호선 역세권 기업;평균연봉 7,000 이상",C;Coqui TTS;PostgreSQL;Kafka;DeepLearning;Spring Boot;JSON;MachineLearning;AZURE;REST API;RDB;NoSql;Docker;MySQL;TCP/IP;Oracle;AWS;Python;Java;C++;Amazon SQS;OAuth2;MariaDB;Redis;React;SQL;RabbitMQ;Git;Linux;GCP;XML;MongoDB;OpenAPI;DB;Kubernetes,"",응용 소프트웨어 개발 및 공급업,3,10,초대졸(예정),2025.09.09 00:00,2025.10.08 23:59,65,1
(주)넥스트챕터,51758574,프론트엔드 개발자,프론트엔드 엔지니어 (시니어),Windows;GraphQL;JavaScript;Linux;React;Redux;RESTAPI;TypeScript;Vue.js,무관,학력무관,정규직,"",점심지원;시리즈A 투자유치,TypeScript;REST API;Vue.js;Linux;Redux;JavaScript;GraphQL;Windows;React,중소기업,전자상거래 소매업,5,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.09.09 00:00,2025.10.08 23:59,23,2
(주)노아시스템즈,51624233,인공지능/머신러닝;SW/솔루션,리눅스 네트워크 프로그래머,Linux;Utm;C;TCP/IP;Git;C++,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,중소기업,시스템 소프트웨어 개발 및 공급업,5,10,초대졸(예정),2025.08.26 00:00,2025.09.24 23:59,38,
(주)노아시스템즈,51765704,서버/백엔드 개발자;DevOps/시스템 엔지니어,솔루션 백엔드(Backend) 개발,Java;Shell;Spring;SpringBoot;SpringSecurity;Linux;SwaggerUI,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,중소기업,시스템 소프트웨어 개발 및 공급업,3,7,대졸(예정),2025.09.09 00:00,2025.10.08 23:59,116,11
(주)노아시스템즈,51765709,웹퍼블리셔;프론트엔드 개발자,솔루션 프론트엔드(Frontend),GUI;RESTAPI;JavaScript;React;TypeScript;IntelliJIDEA;VisualStudioCode;ApexCharts,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,중소기업,시스템 소프트웨어 개발 및 공급업,3,7,대졸(예정),2025.09.09 00:00,2025.10.08 23:59,58,16
(주)누리인포스,51682772,DevOps/시스템 엔지니어,Citrix 가상화 엔지니어 경력 모집,CitrixGateway;Linux;WindowsServer,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",매출액 100억 기업;경강선 역세권 기업;유연근무제;성과급/상여금,Linux;Windows Server;Citrix Gateway,"",응용 소프트웨어 개발 및 공급업,1,2,초대졸(예정),2025.08.30 00:00,2025.09.28 23:59,94,3
(주)누리인포스,51682776,DevOps/시스템 엔지니어,Citrix 가상화 엔지니어 신입 모집,CitrixGateway;Linux;WindowsServer,"대학졸업(2,3년) 이상
(졸업예정자 가능)","대졸(2,3년제) 이상(예정자 가능)",정규직,"",매출액 100억 기업;경강선 역세권 기업;유연근무제;성과급/상여금,Linux;Windows Server;Citrix Gateway,"",응용 소프트웨어 개발 및 공급업,0,0,초대졸(예정),2025.08.30 00:00,2025.09.28 23:59,112,9
(주)누비랩,51550028,프론트엔드 개발자,Front-End Engineer,React;Vue.js;Angular2;Next.js;Remix;Svelte;TypeScript;JavaScript;Vite;Webpack,무관,학력무관,정규직,"",급성장중;자유로운 연차;휴가비 지원;아기 유니콘;유연근무제;점심지원,MVVM;GitHub;PostgreSQL;Recoil;Prometheus;Spring Boot;Next.js;Svelte;Yarn;Grafana;fastlane;TypeScript;REST API;GitHub Actions;NLP;PyTorch;Docker;JavaScript;MySQL;Notion;Remix;Flutter;CodePush;AWS;Spring Batch;Angular 2;NestJS;Python;yolo;Rust;QueryDSL;Loki;Argo;Node.js;Google Docs;Vite;Spring;React;Kotlin;TypeORM;Vue.js;Figma;Slack;Swift;React Native;Webpack;Kubernetes,기타;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,5,10,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.13 00:00,2025.09.11 23:59,99,
(주)누비랩,51550093,기술지원,앱 개발자 (Flutter),Flutter;Kotlin;Swift;MVVM;RESTAPI,무관,학력무관,정규직,"",급성장중;자유로운 연차;휴가비 지원;아기 유니콘;유연근무제;점심지원,MVVM;GitHub;PostgreSQL;Recoil;Prometheus;Spring Boot;Next.js;Svelte;Yarn;Grafana;fastlane;TypeScript;REST API;GitHub Actions;NLP;PyTorch;Docker;JavaScript;MySQL;Notion;Remix;Flutter;CodePush;AWS;Spring Batch;Angular 2;NestJS;Python;yolo;Rust;QueryDSL;Loki;Argo;Node.js;Google Docs;Vite;Spring;React;Kotlin;TypeORM;Vue.js;Figma;Slack;Swift;React Native;Webpack;Kubernetes,기타;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,3,10,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.13 00:00,2025.09.11 23:59,164,
(주)누비랩,51550595,인공지능/머신러닝,AI Engineer,PyTorch;AWS;Docker;Slack;Notion;GoogleDocs;GitHub,무관,학력무관,정규직,"",급성장중;자유로운 연차;휴가비 지원;아기 유니콘;유연근무제;점심지원,MVVM;GitHub;PostgreSQL;Recoil;Prometheus;Spring Boot;Next.js;Svelte;Yarn;Grafana;fastlane;TypeScript;REST API;GitHub Actions;NLP;PyTorch;Docker;JavaScript;MySQL;Notion;Remix;Flutter;CodePush;AWS;Spring Batch;Angular 2;NestJS;Python;yolo;Rust;QueryDSL;Loki;Argo;Node.js;Google Docs;Vite;Spring;React;Kotlin;TypeORM;Vue.js;Figma;Slack;Swift;React Native;Webpack;Kubernetes,기타;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,5,10,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.13 00:00,2025.09.11 23:59,161,
(주)누비랩,51553096,개발 PM;웹 풀스택 개발자,Technical Product Manager,yolo;TypeScript;React;Node.js;JavaScript;AWS;Docker;Kotlin;Spring;GitHub,무관,학력무관,정규직,"",급성장중;자유로운 연차;휴가비 지원;아기 유니콘;유연근무제;점심지원,MVVM;GitHub;PostgreSQL;Recoil;Prometheus;Spring Boot;Next.js;Svelte;Yarn;Grafana;fastlane;TypeScript;REST API;GitHub Actions;NLP;PyTorch;Docker;JavaScript;MySQL;Notion;Remix;Flutter;CodePush;AWS;Spring Batch;Angular 2;NestJS;Python;yolo;Rust;QueryDSL;Loki;Argo;Node.js;Google Docs;Vite;Spring;React;Kotlin;TypeORM;Vue.js;Figma;Slack;Swift;React Native;Webpack;Kubernetes,기타;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,5,15,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.13 00:00,2025.09.11 23:59,90,
(주)더블미디어,51521047,프론트엔드 개발자,프론트엔드 개발자(부산),React;NestJS;Vue.js;CSS3,무관,학력무관,정규직,"",매출액 500억 기업;장기근속 포상;7호선 역세권 기업;점심지원;사내 카페;영업이익률 20% 이상,Golang;Vue.js;CSS 3;JavaScript;MySQL;Redis;AWS;React;NestJS,중소기업,위성 및 기타 방송업,3,20,고졸 미만;고졸(예정);초대졸(예정);대졸(예정);석박사(예정),2025.08.11 00:00,2025.09.09 23:59,372,29
(주)누비랩,51602652,인공지능/머신러닝;SW/솔루션,[전문연구요원] AI Engineer,NLP;PyTorch;AWS;Docker;Slack;Notion;GitHub;GoogleDocs,석사졸업 이상,석사졸업 이상,병역특례,"",급성장중;자유로운 연차;휴가비 지원;아기 유니콘;유연근무제;점심지원,MVVM;GitHub;PostgreSQL;Recoil;Prometheus;Spring Boot;Next.js;Svelte;Yarn;Grafana;fastlane;TypeScript;REST API;GitHub Actions;NLP;PyTorch;Docker;JavaScript;MySQL;Notion;Remix;Flutter;CodePush;AWS;Spring Batch;Angular 2;NestJS;Python;yolo;Rust;QueryDSL;Loki;Argo;Node.js;Google Docs;Vite;Spring;React;Kotlin;TypeORM;Vue.js;Figma;Slack;Swift;React Native;Webpack;Kubernetes,기타;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업,0,0,석박사(예정),2025.08.20 00:00,2025.09.18 23:59,174,
(주)뉴로다임,51653590,인공지능/머신러닝,AI(딥러닝) 연구 및 개발,Linux;Python;TensorFlow;Keras,"대학교졸업(4년) 이상
(졸업예정자 가능)",대졸(4년제) 이상(예정자 가능),정규직,"","",Linux;Keras;Python;TensorFlow,중소기업;주식회사,"",0,0,대졸(예정),2025.08.26 00:00,2025.09.24 23:59,493,74
(주)다우기술,51689512,서버/백엔드 개발자,원장 개발,C;C++;Oracle;Jira,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;주거복지;다우키움 계열사;유연근무제;코스피;평균연봉 7,000 이상",ERP;C;PostgreSQL;Mfc;Mantis;VPN;JavaScript;MySQL;Objective-C;Oracle;Python;Java;C++;L2;L3;vmware;L4;Redis;MariaDB;Jira;Kotlin;Vue.js;jQuery;Linux;Cisco;Spring Framework;Swift;Mybatis;DB,1000대기업;중견기업;코스피;외부감사법인;수출입 기업,포털 및 기타 인터넷 정보매개 서비스업,5,20,초대졸(예정),2025.09.01 00:00,2025.09.09 23:59,269,5
(주)다우기술,51689562,프론트엔드 개발자,HTS 채널 개발,JavaScript;Mfc,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;주거복지;다우키움 계열사;유연근무제;코스피;평균연봉 7,000 이상",ERP;C;PostgreSQL;Mfc;Mantis;VPN;JavaScript;MySQL;Objective-C;Oracle;Python;Java;C++;L2;L3;vmware;L4;Redis;MariaDB;Jira;Kotlin;Vue.js;jQuery;Linux;Cisco;Spring Framework;Swift;Mybatis;DB,1000대기업;중견기업;코스피;외부감사법인;수출입 기업,포털 및 기타 인터넷 정보매개 서비스업,5,20,초대졸(예정),2025.09.01 00:00,2025.09.09 23:59,153,7
(주)다우기술,51689577,안드로이드 개발자;iOS 개발자,MTS 채널 개발,Kotlin;Swift;Java;Objective-C;JavaScript,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;주거복지;다우키움 계열사;유연근무제;코스피;평균연봉 7,000 이상",ERP;C;PostgreSQL;Mfc;Mantis;VPN;JavaScript;MySQL;Objective-C;Oracle;Python;Java;C++;L2;L3;vmware;L4;Redis;MariaDB;Jira;Kotlin;Vue.js;jQuery;Linux;Cisco;Spring Framework;Swift;Mybatis;DB,1000대기업;중견기업;코스피;외부감사법인;수출입 기업,포털 및 기타 인터넷 정보매개 서비스업,5,20,초대졸(예정),2025.09.01 00:00,2025.09.09 23:59,246,15
(주)다우기술,51689594,크로스플랫폼 앱개발자,Web/WTS 채널 개발,Java;SpringFramework;jQuery;Vue.js,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"","평균연봉 상위 10%;주거복지;다우키움 계열사;유연근무제;코스피;평균연봉 7,000 이상",ERP;C;PostgreSQL;Mfc;Mantis;VPN;JavaScript;MySQL;Objective-C;Oracle;Python;Java;C++;L2;L3;vmware;L4;Redis;MariaDB;Jira;Kotlin;Vue.js;jQuery;Linux;Cisco;Spring Framework;Swift;Mybatis;DB,1000대기업;중견기업;코스피;외부감사법인;수출입 기업,포털 및 기타 인터넷 정보매개 서비스업,5,20,초대졸(예정),2025.09.01 00:00,2025.09.09 23:59,222,24
