company_name,company_bookmarks_total,company_views_monthly,company_view_increase_rate_monthly,company_bookmarks_monthly,company_bookmark_increase_rate_monthly,company_keyword_search_count_monthly,company_keyword_search_increase_rate_monthly,company_keywords_saramin,founded_date,company_type,revenue,industry,ceo_name,homepage_url,business_description,address,company_benefits_json,employees_total,employees_timeseries_json,company_url_saramin,saramin_company_collection_time
(주)메디트,2,1514,,21,,344,,"[''MBK파트너스 계열사'', ''역세권 기업'', ''매출액 1000억 기업'', ''슬기로운 육아휴직기업'', ''자유 복장 기업 모음'', ''야근 멈춰!'', ''명절선물/귀향비'', ''배부른 퇴근길'', ''웰컴키트 지급 기업'', ''회사가 쏘는 복지카드'', ''경조사 챙겨주는 기업'', ''야근 눈치 보지마요'', ''휴식시간 필요해요'', ''직원 건강이 우선!'', ''노동조합有 기업 모음'', ''회식 멈춰!'']",2000년 04월 07일,"중견기업, 주식회사, 병역특례 인증업체, 수출입 기업","1,345억 9,772만원",기타 주변기기 제조업,이기원,http://www.medit.com,"스캐너(의료용),치과용기기 제조/소프트웨어 자문,개발,공급/컴퓨터,주변기기,통신기기,부품 도소매/커피숍","서울 영등포구 양평로25길 8, 3층, 9층, 10층, 13층, 14층, 16층
지도보기","{''지원금/보험'': [''건강검진'', ''각종 경조사 지원'', ''복지카드/포인트''], ''급여제도'': [''퇴직연금'', ''연차수당'', ''4대 보험''], ''선물'': [''명절선물/귀향비'', ''웰컴키트 지급'', ''생일자 조기퇴근'', ''장기근속 선물''], ''교육/생활'': [''저녁식사 제공'', ''음료제공(차, 커피)''], ''근무 환경'': [''휴게실'', ''회의실'', ''공기청정기'', ''노트북'', ''사무용품 지급'', ''최고 성능 컴퓨터''], ''조직문화'': [''노조/노사협의회'', ''수평적 조직문화'', ''회식강요 안함'', ''야근강요 안함'', ''자유복장'', ''자유로운 연차사용'', ''님/닉네임 문화''], ''출퇴근'': [''야간교통비지급'', ''탄력근무제'', ''주 52시간제 준수''], ''리프레시'': [''연차'', ''경조휴가제'', ''반차'', ''근로자의 날 휴무'', ''산전 후 휴가'', ''육아휴직'', ''보건휴가'']}",331,"{''total'': [325, 323, 330, 331, 335, 334, 337, 330, 331, 322, 320, 315, 322, 317, 316, 313, 315, 317, 316, 327, 330, 335, 331, 331], ''hired'': [11, 3, 10, 6, 8, 4, 6, 0, 4, 3, 11, 6, 11, 4, 4, 6, 7, 8, 5, 13, 6, 10, 5, 4], ''left'': [5, 3, 5, 4, 5, 3, 7, 3, 12, 13, 11, 4, 9, 5, 9, 5, 6, 6, 2, 3, 5, 9, 4, 2], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -2, 7, 1, 4, -1, 3, -7, 1, -9, -2, -5, 7, -5, -1, -3, 2, 2, -1, 11, 3, 5, -4, 0]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=WGFNTEVDWXBpWDY5MDJEWDVuZ0VRUT09&popup_yn=y,2025-09-14 18:27:46.284363+00
(주)블루개러지,198,643,7,26,4,107,10,"[''제이와이피엔터테인먼트 계열사'', ''역세권 기업'', ''매출액 20% 지속성장'', ''100억매출★중소기업'', ''깜짝! 업계신흥강자'', ''나의 커리어 첫 시작'']",2021년 07월 20일,중소기업,"906억 7,986만원",그 외 기타 상품 전문 도매업,정민종/피현식,"","MD 상품판매,제조/전자상거래","서울 강동구 성안로 7-13, 2층 (성내동,광채빌딩)
지도보기",{},86,"{''total'': [62, 68, 75, 82, 82, 87, 89, 94, 80, 86], ''hired'': [7, 6, 7, 8, 3, 5, 3, 1, 0, 7], ''left'': [0, 0, 1, 3, 0, 1, 1, 14, 1, 3], ''date'': [''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, 6, 7, 7, 0, 5, 2, 5, -14, 6]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=ZDgyeUcwaEtza2VRZm1MUTUzTXdZZz09&popup_yn=y,2025-09-14 18:28:47.660111+00
스마트푸드네트웍스(주),229,756,,9,13,85,,['역세권 기업'],2020년 07월 29일,"중견기업, 주식회사","","화물운송 중개, 대리 및 관련 서비스업",조성수/허정은,https://www.smartfoodnet.com/,"화물운송 중개,대리,전자상거래(소매,중개),SNS마켓,해외직구대행/화물 포장,검수,계량/시스템통합 자문,구축 서비스","서울 강남구 남부순환로 2753, 3층 일부 (도곡동,롯데시네마 도곡)
지도보기",{},106,"{''total'': [106, 107, 107, 114, 114, 111, 110, 104, 108, 108, 107, 106, 104, 103, 102, 100, 101, 97, 101, 101, 104, 106, 107, 106], ''hired'': [3, 5, 5, 8, 3, 1, 2, 2, 7, 1, 0, 0, 0, 0, 1, 1, 2, 3, 4, 3, 7, 3, 4, 0], ''left'': [4, 5, 1, 3, 4, 3, 8, 3, 1, 1, 1, 2, 1, 2, 3, 1, 7, 0, 3, 4, 1, 3, 1, 2], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, 1, 0, 7, 0, -3, -1, -6, 4, 0, -1, -1, -2, -1, -1, -2, 1, -4, 4, 0, 3, 2, 1, -1]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=cDJ1Nmo1b3E2dG5XL1JTdEdaRnpvUT09&popup_yn=y,2025-09-14 18:29:18.04137+00
텐빌리언,53,751,1,3,,38,,[],"","","",쇼핑몰·오픈마켓,정미경,"","","",{},,"",https://www.saramin.co.kr/zf_user/company-info/view?csn=L0hpd0VJUEQxZ0taNlM1UGVjWktHdz09&popup_yn=y,2025-09-14 18:30:45.419369+00
(주)더스윙,846,1850,,50,,250,,"[''시리즈A 투자유치'', ''역세권 기업'', ''예비 유니콘'', ''슬기로운 육아휴직기업'', ''100억매출★중소기업'', ''문화생활을 즐기자'', ''집 고민 덜어주는!'', ''멘토링제도 복지 기업'', ''편의시설이 아닌 인권'', ''자유 복장 기업 모음'', ''야근 멈춰!'', ''명절선물/귀향비'', ''외국어교육지원 기업!'', ''웰컴키트 지급 기업'', ''외국어 교육 지원!'', ''학자금 지원 기업!'', ''남성출산휴가 기업!'', ''월급을 사수하자!'', ''외국기업의 매력'', ''구내식당 복지 기업!'', ''경조사 챙겨주는 기업'', ''월급+보너스=행복2배'', ''야근 눈치 보지마요'', ''제품 직원할인 기업!'', ''휴식시간 필요해요'', ''직원대출제도 운영기업'', ''나의 커리어 첫 시작'', ''전세자금 지원 기업'', ''직원 건강이 우선!'', ''자기계발비 지원 기업'', ''플레이샵 지원 기업!'', ''회식 멈춰!'', ''장기근속수당제공 기업'', ''무제한 연차 기업!'', ''초봉 알짜기업'', ''연구가 좋아요~'']",2018년 12월 28일,"중소기업, 외국인 투자기업, 주식회사, 연구소, 병역특례 인증업체",586억 161만원,응용 소프트웨어 개발 및 공급업,김형산,http://swingmobility.co/careers,"소프트웨어 개발,공급/개인이동수단 대여","서울 용산구 서빙고로 17, 28층 (한강로3가,센트럴파크타워)
지도보기","{''지원금/보험'': [''건강검진'', ''직원대출제도'', ''각종 경조사 지원'', ''헬스비 지급'', ''본인학자금'', ''업무활동비 지급'', ''문화생활비'', ''결혼준비 지원'', ''주요 제품 직원 할인''], ''급여제도'': [''인센티브제'', ''상여금'', ''장기근속자 포상'', ''우수사원포상'', ''스톡옵션'', ''퇴직금'', ''성과급'', ''연차수당'', ''장기근속수당'', ''4대 보험''], ''선물'': [''명절선물/귀향비'', ''창립일선물지급'', ''생일선물/파티'', ''웰컴키트 지급'', ''장기근속 선물''], ''교육/생활'': [''창립일행사'', ''우수사원시상식'', ''워크샵'', ''플레이샵'', ''신규 입사자 교육(OJT)'', ''직무능력향상교육'', ''리더십 강화교육'', ''도서구입비지원'', ''멘토링제도'', ''외국어 교육 지원'', ''자격증취득지원'', ''교육비 지원'', ''자기계발비 지원'', ''구내식당(사원식당)'', ''사내동호회 운영'', ''식비 지원'', ''음료제공(차, 커피)'', ''신규입사자 멘토 제도'', ''컨퍼런스 개최''], ''근무 환경'': [''휴게실'', ''회의실'', ''공기청정기'', ''장애인 화장실'', ''장애인 전용주차장'', ''장애인 엘리베이터'', ''유니폼지급'', ''스마트기기'', ''노트북'', ''사원증'', ''사무용품 지급'', ''최고 성능 컴퓨터''], ''조직문화'': [''무제한 연차'', ''수평적 조직문화'', ''회식강요 안함'', ''야근강요 안함'', ''자유복장'', ''자유로운 연차사용'', ''님/닉네임 문화''], ''출퇴근'': [''주택자금 융자'', ''야간교통비지급'', ''회사차량 있음'', ''탄력근무제'', ''주거비 지원'', ''전세자금 대출'', ''주 52시간제 준수'', ''주 40시간제 시행''], ''리프레시'': [''연차'', ''여름휴가'', ''경조휴가제'', ''반차'', ''근로자의 날 휴무'', ''산전 후 휴가'', ''육아휴직'', ''남성출산휴가'', ''보건휴가'']}",86,"{''total'': [114, 111, 102, 109, 107, 53, 49, 50, 55, 61, 63, 62, 63, 67, 65, 63, 75, 78, 76, 76, 81, 86], ''hired'': [31, 5, 5, 11, 9, 4, 2, 1, 6, 8, 7, 7, 6, 8, 7, 4, 15, 11, 4, 4, 7, 10], ''left'': [8, 14, 4, 11, 5, 6, 0, 1, 2, 5, 8, 5, 4, 9, 6, 3, 8, 6, 4, 2, 5, 4], ''date'': [''2022.9'', ''2022.10'', ''2022.11'', ''2022.12'', ''2023.1'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -3, -9, 7, -2, -54, -4, 1, 5, 6, 2, -1, 1, 4, -2, -2, 12, 3, -2, 0, 5, 5]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=NlB3L3FmcGZvdnVMUHQwYnh4MDVVZz09&popup_yn=y,2025-09-14 18:31:07.001478+00
(주)스패로우,63,207,1,2,,45,5,"[''파수 계열사'', ''역세권 기업'', ''100억매출★중소기업'', ''나의 커리어 첫 시작'']",2018년 05월 08일,"중소기업, 주식회사","103억 4,645만원",응용 소프트웨어 개발 및 공급업,장일수,http://www.sparrow.im,"소프트웨어 개발,운영,정보처리,학술연구용역/무역","서울 마포구 월드컵북로 396, 13층 (상암동,누리꿈스퀘어비즈니스타워)
지도보기",{},85,"{''total'': [70, 68, 68, 68, 76, 73, 72, 71, 78, 78, 78, 78, 88, 82, 82, 81, 83, 83, 84, 85, 87, 84, 84, 85], ''hired'': [4, 1, 1, 0, 9, 0, 1, 0, 7, 0, 0, 4, 10, 0, 2, 0, 3, 1, 1, 2, 3, 0, 0, 2], ''left'': [3, 1, 0, 1, 3, 2, 1, 0, 0, 0, 4, 0, 6, 2, 1, 1, 1, 0, 1, 1, 3, 0, 1, 0], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -2, 0, 0, 8, -3, -1, -1, 7, 0, 0, 0, 10, -6, 0, -1, 2, 0, 1, 1, 2, -3, 0, 1]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=c21SN1FkbkJHU3VCQzVRU2ZPakpmZz09&popup_yn=y,2025-09-14 18:32:14.532405+00
(주)브릭,315,171,1,3,,55,2,"[''간식제공 복지 기업!'', ''자유 복장 기업 모음'', ''포상휴가를 주는 기업'', ''경조사 챙겨주는 기업'', ''야근 눈치 보지마요'', ''단체상해보험 기업!'', ''나의 커리어 첫 시작'', ''직원 건강이 우선!'']","","중소기업, 주식회사, 수출입 기업","","","",http://www.brique.co.kr,"","","{''지원금/보험'': [''건강검진'', ''각종 경조사 지원'', ''단체 상해보험''], ''급여제도'': [''퇴직연금'', ''장기근속자 포상'', ''퇴직금'', ''4대 보험''], ''교육/생활'': [''신규 입사자 교육(OJT)'', ''도서구입비지원'', ''교육비 지원'', ''간식 제공''], ''근무 환경'': [''회의실'', ''노트북'', ''사원증'', ''사무용품 지급''], ''조직문화'': [''회식강요 안함'', ''야근강요 안함'', ''자유복장'', ''자유로운 연차사용''], ''출퇴근'': [''주 52시간제 준수''], ''리프레시'': [''연차'', ''경조휴가제'', ''반차'', ''근로자의 날 휴무'', ''포상휴가'']}",,"",https://www.saramin.co.kr/zf_user/company-info/view?csn=SzUzYmN5bWxzNi9rMFB4b1NrUVZkUT09&popup_yn=y,2025-09-14 19:00:23.850363+00
(주)소프트넷,188,311,,0,,63,3,"[''역세권 기업'', ''스타트업의 매력★'', ''명절선물/귀향비'', ''배부른 퇴근길'', ''喜怒哀樂 함께해요!'', ''IT통신업종★스타트업'', ''야근 눈치 보지마요'', ''휴식시간 필요해요'', ''직원대출제도 운영기업'', ''나의 커리어 첫 시작'', ''직원 건강이 우선!'', ''노동조합有 기업 모음'', ''초임3천5백↑스타트업'', ''채용중★스타트업'']",1998년 01월 16일,"스타트업, 중소기업, 주식회사","",컴퓨터시스템 통합 자문 및 구축 서비스업,이상수,http://www.softnet.co.kr,"보안인프라설계 구축,유지보수,개인건강관리시스템(헬스케어)","서울 강남구 삼성로 554, 4층2호 ,5층 (삼성동,예성빌딩)
지도보기","{''지원금/보험'': [''건강검진'', ''직원대출제도'', ''헬스비 지급''], ''급여제도'': [''인센티브제'', ''장기근속자 포상'', ''우수사원포상'', ''퇴직금'', ''휴일(특근)수당'', ''4대 보험''], ''선물'': [''명절선물/귀향비'', ''창립일선물지급''], ''교육/생활'': [''저녁식사 제공'', ''사우회(경조사회)''], ''근무 환경'': [''휴게실'', ''회의실'', ''공기청정기'', ''노트북'', ''사원증''], ''조직문화'': [''노조/노사협의회'', ''회식강요 안함'', ''야근강요 안함''], ''출퇴근'': [''차량유류비지급'', ''야간교통비지급'', ''주차비지원'']}",70,"{''total'': [69, 67, 68, 67, 69, 70, 69, 70, 67, 66, 65, 67, 67, 69, 68, 68, 68, 73, 72, 70, 71, 68, 71, 70], ''hired'': [0, 1, 2, 1, 2, 1, 0, 2, 1, 0, 0, 3, 2, 4, 0, 0, 1, 6, 0, 1, 3, 1, 4, 0], ''left'': [3, 1, 2, 0, 0, 1, 1, 4, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 3, 2, 4, 1, 1, 2], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -2, 1, -1, 2, 1, -1, 1, -3, -1, -1, 2, 0, 2, -1, 0, 0, 5, -1, -2, 1, -3, 3, -1]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=ejIweFVmVG5ZSDlyTDJRNTArcVg4UT09&popup_yn=y,2025-09-14 18:33:27.115218+00
(주)데이터메이커,600,1392,,33,,362,,"[''사내 카페 보유 기업'', ''일상이 된 재택근무'', ''슬기로운 육아휴직기업'', ''간식제공 복지 기업!'', ''자유 복장 기업 모음'', ''야근 멈춰!'', ''명절선물/귀향비'', ''웰컴키트 지급 기업'', ''Refresh 휴가'', ''경조사 챙겨주는 기업'', ''월급+보너스=행복2배'', ''커피는 회사가 쏜다'', ''야근 눈치 보지마요'', ''나의 커리어 첫 시작'', ''노동조합有 기업 모음'', ''회식 멈춰!'']",2018년 10월 19일,중소기업,"44억 9,924만원",전기ㆍ전자공학 연구개발업,이에녹,http://www.datamaker.io,컴퓨터과학(소프트웨어)연구업,"대전 유성구 유성대로 871, 401호, 402호, 403호, 501호, 502호, 503호 (죽동,씨유빌딩)
지도보기","{''지원금/보험'': [''각종 경조사 지원''], ''급여제도'': [''퇴직연금'', ''상여금'', ''장기근속자 포상'', ''성과급'', ''야근수당'', ''휴일(특근)수당'', ''연차수당'', ''직책수당'', ''4대 보험''], ''선물'': [''명절선물/귀향비'', ''창립일선물지급'', ''생일선물/파티'', ''웰컴키트 지급'', ''장기근속 선물''], ''교육/생활'': [''워크샵'', ''신규 입사자 교육(OJT)'', ''도서구입비지원'', ''자격증취득지원'', ''간식 제공'', ''음료제공(차, 커피)''], ''근무 환경'': [''회의실'', ''공기청정기'', ''카페테리아'', ''노트북'', ''사원증'', ''사무용품 지급''], ''조직문화'': [''노조/노사협의회'', ''수평적 조직문화'', ''회식강요 안함'', ''야근강요 안함'', ''자유복장'', ''자유로운 연차사용'', ''님/닉네임 문화''], ''출퇴근'': [''야간교통비지급'', ''주차비지원'', ''탄력근무제'', ''재택근무'', ''주 52시간제 준수'', ''주 40시간제 시행''], ''리프레시'': [''연차'', ''경조휴가제'', ''반차'', ''Refresh휴가'', ''창립일휴무'', ''근로자의 날 휴무'', ''육아휴직'']}",79,"{''total'': [48, 53, 58, 62, 69, 61, 60, 61, 107, 108, 105, 106, 106, 80, 79, 80, 78, 69, 70, 70, 68, 69, 75, 79], ''hired'': [2, 5, 5, 4, 8, 2, 1, 1, 46, 4, 0, 5, 3, 1, 0, 1, 1, 0, 1, 0, 0, 1, 6, 8], ''left'': [0, 0, 0, 1, 10, 2, 0, 0, 3, 3, 4, 3, 27, 1, 0, 3, 9, 0, 0, 2, 0, 0, 4, 1], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, 5, 5, 4, 7, -8, -1, 1, 46, 1, -3, 1, 0, -26, -1, 1, -2, -9, 1, 0, -2, 1, 6, 4]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=TXV0OVBGdXZhZkVpZUw2OUFYeGdTdz09&popup_yn=y,2025-09-14 18:34:40.695409+00
(주)쓰리아이,449,312,,4,,114,,"[''시리즈A 투자유치'', ''예비 유니콘'', ''자유 복장 기업 모음'', ''명절선물/귀향비'', ''월급+보너스=행복2배'', ''휴식시간 필요해요'', ''나의 커리어 첫 시작'']",2016년 12월 30일,"중소기업, 병역특례 인증업체, 수출입 기업","",응용 소프트웨어 개발 및 공급업,정지욱/김켄,http://www.3i.ai,"소프트웨어 개발,공급,자문/무선통신장비,비디오,영상 기기 제조/사진기,사진용품 도소매","대구 동구 동대구로 465, 903호 (신천동,대구스케일업허브)
지도보기","{''급여제도'': [''퇴직금'', ''성과급'', ''4대 보험''], ''선물'': [''명절선물/귀향비''], ''교육/생활'': [''신규 입사자 교육(OJT)''], ''근무 환경'': [''휴게실'', ''회의실'', ''노트북'', ''사원증'', ''사무용품 지급'', ''스탠딩 책상''], ''조직문화'': [''자유복장''], ''리프레시'': [''연차'', ''근로자의 날 휴무'']}",41,"{''total'': [110, 108, 105, 83, 76, 67, 67, 65, 64, 61, 51, 46, 44, 41, 39, 37, 36, 35, 37, 37, 39, 37, 40, 41], ''hired'': [4, 5, 1, 1, 2, 2, 3, 1, 2, 1, 0, 2, 4, 0, 2, 1, 4, 1, 2, 3, 2, 1, 3, 2], ''left'': [7, 4, 23, 9, 11, 3, 3, 3, 4, 10, 7, 6, 3, 4, 3, 5, 2, 0, 3, 0, 3, 0, 1, 2], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -2, -3, -22, -7, -9, 0, -2, -1, -3, -10, -5, -2, -3, -2, -2, -1, -1, 2, 0, 2, -2, 3, 1]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=RitaRWg5OS8xYWJRdnlFaU9Zc09lQT09&popup_yn=y,2025-09-14 18:35:51.035818+00
(주)크리스틴컴퍼니,129,255,,5,,11,,"[''매출액 20% 지속성장'', ''사내 카페 보유 기업'', ''깜짝! 업계신흥강자'', ''회사가 쏘는 복지카드'', ''경조사 챙겨주는 기업'', ''월급+보너스=행복2배'', ''커피는 회사가 쏜다'', ''휴식시간 필요해요'', ''나의 커리어 첫 시작'', ''직원 건강이 우선!'', ''복지는 내가 선택!'', ''장기근속수당제공 기업'']",2019년 08월 09일,"중소기업, 주식회사, 수출입 기업","21억 3,746만원",구두류 제조업,이민봉,http://www.kristinkorea.com,"슈즈, 잡화,의류,상품 종합 도매업,전자상거래 소매업,기타 통신 판매업,일반 창고업,포털 및 기타 인터넷 정보 매개 서비스업,기타 금융 투자업","경남 김해시 김해대로 2232, 3층 김해창업카페 2-1호 (외동,김해여객터미널)
지도보기","{''지원금/보험'': [''건강검진'', ''각종 경조사 지원'', ''선택적복리후생'', ''복지카드/포인트''], ''급여제도'': [''인센티브제'', ''상여금'', ''장기근속자 포상'', ''우수사원포상'', ''스톡옵션'', ''성과급'', ''야근수당'', ''휴일(특근)수당'', ''연차수당'', ''장기근속수당'', ''4대 보험''], ''근무 환경'': [''휴게실'', ''회의실'', ''공기청정기'', ''카페테리아'', ''전용 사옥'', ''사내 정원'', ''유니폼지급'', ''노트북'', ''사원증'', ''자회사 제품할인'', ''최고 성능 컴퓨터''], ''출퇴근'': [''주 52시간제 준수'']}",28,"{''total'': [28, 33, 34, 36, 36, 37, 37, 37, 38, 35, 36, 37, 39, 38, 38, 39, 38, 38, 40, 39, 34, 31, 30, 28], ''hired'': [1, 6, 2, 2, 0, 1, 1, 0, 2, 0, 2, 1, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 3, 0], ''left'': [1, 1, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 1, 1, 0, 2, 1, 0, 1, 5, 4, 4, 2, 1], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, 5, 1, 2, 0, 1, 0, 0, 1, -3, 1, 1, 2, -1, 0, 1, -1, 0, 2, -1, -5, -3, -1, -2]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=RThTMS9yNTV6b1BqU1JNWXMyUjNFQT09&popup_yn=y,2025-09-14 18:37:06.523907+00
(주)컨두잇,3,96,4,1,,5,,"[''역세권 기업'', ''매출액 20% 지속성장'', ''매출액 150% 급성장'', ''나의 커리어 첫 시작'']",2022년 06월 03일,중소기업,7억 14만원,포털 및 기타 인터넷 정보매개 서비스업,이상목,"",포털 및 기타 인터넷 정보 매개 서비스업,"서울 영등포구 의사당대로 83, 서울핀테크랩 4층,5층,6층,8층,17층,19층 (여의도동,오투타워)
지도보기",{},12,"{''total'': [10, 10, 11, 10, 10, 11, 11, 11, 12, 15, 15, 12, 12, 12, 12, 12], ''hired'': [0, 2, 1, 0, 2, 1, 1, 0, 1, 5, 0, 2, 2, 0, 0, 0], ''left'': [3, 0, 1, 2, 0, 0, 0, 0, 2, 0, 5, 2, 0, 0, 0, 0], ''date'': [''2024.2'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, 0, 1, -1, 0, 1, 0, 0, 1, 3, 0, -3, 0, 0, 0, 0]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=MVVwZmVJTnRlSytZbFBRdmtZTVhxZz09&popup_yn=y,2025-09-14 19:00:31.387198+00
(주)리비바이오,323,1141,,30,,130,,"[''역세권 기업'', ''슬기로운 육아휴직기업'', ''간식제공 복지 기업!'', ''자유 복장 기업 모음'', ''휴식시간 필요해요'', ''나의 커리어 첫 시작'']",2016년 02월 19일,중소기업,"18억 2,515만원",데이터베이스 및 온라인정보 제공업,나승균,https://fanplus.co.kr/ko/,"기타정보서비스업,응용 소프트웨어 개발 및 공급업,광고 대행업","서울 강남구 역삼로3길 17, 6층 (역삼동,혜진빌딩)
지도보기","{''급여제도'': [''4대 보험''], ''선물'': [''생일자 조기퇴근''], ''교육/생활'': [''간식 제공''], ''근무 환경'': [''휴게실''], ''조직문화'': [''자유복장''], ''리프레시'': [''연차'', ''창립일휴무'', ''육아휴직'']}",59,"{''total'': [35, 34, 35, 37, 36, 39, 40, 40, 38, 40, 55, 58, 58, 54, 52, 54, 55, 56, 58, 56, 55, 58, 59, 59], ''hired'': [7, 1, 1, 3, 1, 5, 2, 0, 0, 5, 15, 6, 2, 2, 0, 3, 1, 1, 2, 0, 2, 5, 2, 1], ''left'': [2, 0, 1, 2, 2, 1, 0, 2, 3, 0, 3, 2, 6, 2, 1, 0, 0, 0, 2, 3, 2, 1, 1, 2], ''date'': [''2023.8'', ''2023.9'', ''2023.10'', ''2023.11'', ''2023.12'', ''2024.1'', ''2024.2'', ''2024.3'', ''2024.4'', ''2024.5'', ''2024.6'', ''2024.7'', ''2024.8'', ''2024.9'', ''2024.10'', ''2024.11'', ''2024.12'', ''2025.1'', ''2025.2'', ''2025.3'', ''2025.4'', ''2025.5'', ''2025.6'', ''2025.7''], ''personChange'': [0, -1, 1, 2, -1, 3, 1, 0, -2, 2, 15, 3, 0, -4, -2, 2, 1, 1, 2, -2, -1, 3, 1, 0]}",https://www.saramin.co.kr/zf_user/company-info/view?csn=TXA5S2FvNk9odENrRGpBeUdGNnBlQT09&popup_yn=y,2025-09-14 18:38:04.730655+00
